pair,open_time,close_time,side,alpha,beta,half_life_minutes,qty_y,qty_x,entry_price_y,entry_price_x,exit_price_y,exit_price_x,u_entry,u_exit,spread_change,entry_z,exit_z,z_change,pnl,fees,reason
UPS-FDX,2022-11-11 14:54:00+00:00,2022-11-11 16:52:00+00:00,1,-105.91782680500532,1.5737583277838052,550.8875965246942,286.0533753647578,-450.1788816709544,167.39,174.61,174.08,177.16,-1.4861148093249597,1.190801454826385,2.6769162641513446,-1.724862124394935,-0.3447392498959216,1.3801228744990133,759.263439816295,6.477493113016166,mean_revert
MAR-HLT,2022-11-11 14:30:00+00:00,2022-11-11 16:56:00+00:00,-1,23.086381134654307,0.6961505803645069,259.16021980670257,-211.52780430593373,147.25520373080562,139.36,160.49,140.34,162.87,4.548412222645965,3.8715738413784493,-0.6768383812675154,1.679468295546907,0.38028686004458945,-1.2991814355023175,140.48667330510722,2.6834633543965527,mean_revert
MAR-HLT,2022-11-14 14:30:00+00:00,2022-11-14 14:49:00+00:00,1,13.600261705034976,0.7631435750005557,208.80980328904414,479.73024855825787,-366.1030569206541,139.48,163.2,140.71,163.3,1.3347068548743266,2.4883924973742637,1.153685642499937,-2.9849433334926405,-0.32531718037721197,2.6596261531154286,547.0935264111034,6.364373623488765,mean_revert
MAR-HLT,2022-11-14 16:22:00+00:00,2022-11-14 16:40:00+00:00,-1,13.600261705034976,0.7631435750005557,208.80980328904414,-202.41569787509255,154.47223931263053,140.1,161.32,140.33,162.44,3.389416775875361,2.7646959718747723,-0.6247208040005887,1.6658714152780174,0.26862370354377463,-1.3972477117342428,123.77842424703415,2.6748732718377726,mean_revert
UPS-FDX,2022-11-14 15:51:00+00:00,2022-11-14 18:56:00+00:00,-1,-30.450172403158493,1.1200625397602408,326.5447473209204,-132.2133082680328,148.08717384879645,178.38,179.86,178.68,181.37,7.375724001881565,5.984429566843602,-1.3912944350379632,1.7506807114256064,0.3782230233494775,-1.372457688076129,181.42351779915555,2.5241222321144154,mean_revert
SLB-HAL,2022-11-14 14:34:00+00:00,2022-11-14 19:22:00+00:00,1,0.23291121324222872,0.6991272926786252,719.7262196222256,1687.9330617430294,-1180.0800716791468,38.51,55.08,38.53,54.76,-0.2308424939809015,0.012878239676261671,0.24372073365716318,-1.6978595521259736,-0.3312923280315272,1.3665672240944464,404.90142189248775,6.48286227970545,mean_revert
TMO-DHR,2022-11-11 16:09:00+00:00,2022-11-14 20:54:00+00:00,1,-43.7301246604371,0.5897932005188037,266.15926875395564,270.8528141242034,-159.74714811183856,272.54,539.02,267.46,535.24,-1.6402062832084425,-4.490787985247437,-2.850581702038994,-2.9350583733489124,-0.28077520000469647,2.654283173344216,-779.985343749271,7.897267861051995,mean_revert
MAR-HLT,2022-11-14 19:35:00+00:00,2022-11-15 14:30:00+00:00,-1,13.600261705034976,0.7631435750005557,208.80980328904414,-201.9688004579479,154.13119242005226,140.41,161.55,141.385,161.43,3.523893753625231,4.590470982625305,1.0665772290000746,1.7079735316033782,3.188579391836091,1.4806058602327128,-218.08716139916083,2.6718378622557997,adverse
TMO-DHR,2022-11-15 14:35:00+00:00,2022-11-15 14:39:00+00:00,1,-69.87977519946801,0.6419927813953917,215.05846859345453,111.0208683950035,-71.27459609384005,274.28,549.38,274.26,552.14,-8.538219043532308,-10.330119120183554,-1.7919000766512454,-1.847146702962613,-3.0755579700343656,-1.2284112670717526,-202.42840952955925,3.490106942663325,adverse
TMO-DHR,2022-11-15 14:40:00+00:00,2022-11-15 14:41:00+00:00,1,-69.87977519946801,0.6419927813953917,215.05846859345453,111.18301366796246,-71.37869218861707,273.88,551.33,273.61,551.42,-10.190104967253319,-10.517884317578819,-0.32777935032549976,-2.960557155531403,-3.173642746730929,-0.2130855911995262,-39.93251712813446,3.489021140816921,adverse
