,equity
2023-04-13 19:01:00+00:00,11767.649689955979
2023-04-13 19:02:00+00:00,11767.649689955979
2023-04-13 19:03:00+00:00,11767.649689955979
2023-04-13 19:04:00+00:00,11767.649689955979
2023-04-13 19:05:00+00:00,11767.649689955979
2023-04-13 19:06:00+00:00,11767.649689955979
2023-04-13 19:07:00+00:00,11767.649689955979
2023-04-13 19:08:00+00:00,11767.649689955979
2023-04-13 19:09:00+00:00,11767.649689955979
2023-04-13 19:10:00+00:00,11767.649689955979
2023-04-13 19:11:00+00:00,11767.649689955979
2023-04-13 19:12:00+00:00,11767.649689955979
2023-04-13 19:13:00+00:00,11767.649689955979
2023-04-13 19:14:00+00:00,11767.649689955979
2023-04-13 19:15:00+00:00,11767.649689955979
2023-04-13 19:16:00+00:00,11767.649689955979
2023-04-13 19:17:00+00:00,11767.649689955979
2023-04-13 19:18:00+00:00,11767.649689955979
2023-04-13 19:19:00+00:00,11767.649689955979
2023-04-13 19:20:00+00:00,11767.649689955979
2023-04-13 19:21:00+00:00,11767.649689955979
2023-04-13 19:22:00+00:00,11767.649689955979
2023-04-13 19:23:00+00:00,11767.649689955979
2023-04-13 19:24:00+00:00,11767.649689955979
2023-04-13 19:25:00+00:00,11767.649689955979
2023-04-13 19:26:00+00:00,11767.649689955979
2023-04-13 19:27:00+00:00,11767.649689955979
2023-04-13 19:28:00+00:00,11767.649689955979
2023-04-13 19:29:00+00:00,11767.649689955979
2023-04-13 19:30:00+00:00,11767.649689955979
2023-04-13 19:31:00+00:00,11767.649689955979
2023-04-13 19:32:00+00:00,11767.649689955979
2023-04-13 19:33:00+00:00,11767.649689955979
2023-04-13 19:34:00+00:00,11767.649689955979
2023-04-13 19:35:00+00:00,11767.649689955979
2023-04-13 19:36:00+00:00,11767.649689955979
2023-04-13 19:37:00+00:00,11767.649689955979
2023-04-13 19:38:00+00:00,11767.649689955979
2023-04-13 19:39:00+00:00,11767.649689955979
2023-04-13 19:40:00+00:00,11767.649689955979
